GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rms-application,io.extact.rms.application.common,LoginUserUtils.new InheritableThreadLocal() {...},2,3,0,0,1,1,1,1,1,1
rms-application,io.extact.rms.application.common,LoginUserUtils,3,16,0,0,1,6,1,4,1,4
rms-application,io.extact.rms.application.common,ServiceLoginUser,3,25,0,0,1,3,1,4,1,4
rms-application,io.extact.rms.application.persistence,GenericRepository.ApiType,3,0,0,0,1,0,1,0,1,0
rms-application,io.extact.rms.application.exception,BusinessFlowException.CauseType,0,44,0,0,0,5,0,1,0,1
rms-application,io.extact.rms.application.exception,RentalReservationServiceException,11,4,0,0,4,2,2,1,2,1
rms-application,io.extact.rms.application.exception,RmsSystemException,13,0,0,0,6,0,3,0,3,0
rms-application,io.extact.rms.application.exception,BusinessFlowException,15,10,0,0,6,4,2,2,2,2
rms-application,io.extact.rms.application.persistence.file.converter,UserAccountArrayConverter,0,90,0,0,0,19,0,4,0,4
rms-application,io.extact.rms.application.persistence.file.converter,ReservationArrayConverter,0,93,0,0,0,18,0,4,0,4
rms-application,io.extact.rms.application.persistence.file.converter,RentalItemArrayConverter,0,48,0,0,0,11,0,4,0,4
rms-application,io.extact.rms.application.domain,UserAccount.UserType,3,34,0,0,1,6,1,2,1,2
rms-application,io.extact.rms.application.domain,Reservation,0,111,0,0,0,25,0,21,0,21
rms-application,io.extact.rms.application.domain,RentalItem,0,52,0,0,0,8,0,11,0,11
rms-application,io.extact.rms.application.domain,UserAccount,0,116,0,4,0,15,0,23,0,21
rms-application,io.extact.rms.application.domain,Reservation.DateTimePeriod,0,26,0,0,0,7,0,4,0,4
rms-application,io.extact.rms.application.domain,Transformable,0,4,0,0,0,1,0,1,0,1
rms-application,io.extact.rms.application.persistence.file.io,FileAccessor,6,164,1,3,2,30,1,11,0,10
rms-application,io.extact.rms.application.persistence.file.io,PathResolver.FixedDirPathResolver,0,23,0,0,0,6,0,3,0,3
rms-application,io.extact.rms.application.persistence.file.io,PathResolver.TempDirPathResolver,6,27,0,0,2,9,0,3,0,3
rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator,1,134,1,7,1,29,1,10,0,7
rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator.RecursiveCopyCommand.RecursiveCopyCommandFinsher,6,27,0,0,2,7,0,2,0,2
rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator.RecursiveCopyCommand,0,17,0,0,0,5,0,2,0,2
rms-application,io.extact.rms.application.persistence.file.init,InitFilePreparator.RecursiveCopyCommand.RecursiveCopyCommandFinsher.new SimpleFileVisitor() {...},0,48,0,0,0,5,0,3,0,3
rms-application,io.extact.rms.application.service,RentalItemService,0,36,0,2,0,9,0,5,0,4
rms-application,io.extact.rms.application.service,UserAccountService,0,44,0,2,0,11,0,6,0,5
rms-application,io.extact.rms.application.service,ReservationService,0,127,0,10,0,29,0,16,0,11
rms-application,io.extact.rms.application.service,GenericService,0,45,0,4,0,11,0,6,0,4
rms-application,io.extact.rms.application.persistence.file,IoSystemException,9,0,0,0,4,0,2,0,2,0
rms-application,io.extact.rms.application.persistence.file,ReservationFileRepository,0,157,0,8,0,27,0,17,0,13
rms-application,io.extact.rms.application.persistence.file,FileRepositoryInitializeProducers,6,89,1,2,1,18,1,7,0,6
rms-application,io.extact.rms.application.persistence.file,AbstractFileRepository,18,205,0,8,6,50,0,22,0,18
rms-application,io.extact.rms.application.persistence.file,RentalItemFileRepository,0,29,0,0,0,7,0,3,0,3
rms-application,io.extact.rms.application.persistence.file,UserAccountFileRepository,0,62,0,0,0,13,0,6,0,6
rms-application,io.extact.rms.application.domain.constraint,BeforeAfterDateTime.BeforeAfterDateTimeValidator,0,17,0,4,0,4,0,4,0,2
rms-application,io.extact.rms.application,RentalReservationApplicationImpl,19,336,2,16,5,79,2,34,1,26
rms-application,io.extact.rms.application.persistence.jpa,RentalItemJpaRepository,0,24,0,0,0,9,0,4,0,4
rms-application,io.extact.rms.application.persistence.jpa,JpaCrudRepository,0,62,0,4,0,15,0,7,0,5
rms-application,io.extact.rms.application.persistence.jpa,UserAccountJpaRepository,0,43,0,0,0,16,0,5,0,5
rms-application,io.extact.rms.application.persistence.jpa,ReservationJpaRepository,0,107,0,0,0,26,0,11,0,11
